organization_name,organization_entity_type,organization_tax_id,organization_street_address_1,organization_city,organization_county,organization_state_province,organization_country,organization_postal_code,organization_phone,organization_email,organization_website,organization_mission_statement,organization_executive_administrator,organization_executive_administrator_title,proposal_date,proposal_name,proposal_focus,proposal_type,proposal_summary,proposal_primary_contact_name,proposal_primary_contact_title,proposal_primary_contact_phone,proposal_primary_contact_email,proposal_amount_requested,proposal_start_date,proposal_end_date,proposal_submitter_email,proposal_submitter_name
World Water Project,Nonprofit,135792468,789 Water St,New York City,New York County,New York,United States,13579,555-246-8102,info@wwp.org,www.wwp.org,Ensuring access to clean water and sanitation worldwide.,Michael Brown,President,2023-03-25,WaterForAll,International Water Access Program,Grant,Expanding access to clean water and sanitation in communities facing water scarcity.,Sophia Martin,Water Program Director,555-246-8103,sophia.martin@wwp.org,"$350,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Global Green Alliance,Nonprofit,246810135,123 Eco St,Orlando,Orange County,Florida,United States,24680,555-135-2468,contact@gga.org,www.gga.org,Promoting environmental sustainability and conservation globally.,Daniel Wilson,Executive Director,2023-02-05,EcoGlobal,International Environmental Program,Grant,Supporting environmental conservation projects in regions with high biodiversity.,Chloe Taylor,Environmental Program Manager,555-135-2469,chloe.taylor@gga.org,"$280,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Peace and Development Network,Nonprofit,864209753,456 Peace St,Philadelphia,Philadelphia County,Pennsylvania,United States,86420,555-209-8642,info@pdn.org,www.pdn.org,"Promoting peace, development, and human rights worldwide.",Ethan Moore,CEO,2023-03-10,PeaceWorks,International Peacebuilding Program,Grant,Implementing peacebuilding and development initiatives in conflict-affected regions.,Alice Brown,Peace Program Director,555-209-8643,alice.brown@pdn.org,"$320,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Cultural Arts Network,Nonprofit,147258369,123 Creative Blvd,Phoenix,Maricopa County,Arizona,United States,14725,555-258-3691,info@can.org,www.can.org,Promoting cultural diversity through the arts.,Miranda Thompson,Executive Director,2023-04-05,ArtDiversity,Cultural Arts Outreach Program,Grant,Supporting outreach programs to promote cultural diversity and inclusivity through the arts.,Nathan Kim,Outreach Coordinator,555-258-3692,nathan.kim@can.org,"$200,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Renewable Solutions Group,Nonprofit,369258147,456 Green St,Portland,Multnomah County,Oregon,United States,36925,555-258-3693,contact@rsg.org,www.rsg.org,Advancing sustainable energy solutions.,Elena Rodriguez,CEO,2023-03-20,EcoEnergy,Renewable Energy Initiative,Grant,Implementing renewable energy projects to promote sustainability and reduce carbon footprint.,Liam Patel,Energy Program Manager,555-258-3694,liam.patel@rsg.org,"$300,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Global Food Security Alliance,Nonprofit,258369147,789 Agriculture St,San Antonio,Bexar County,Texas,United States,25836,555-369-2581,info@gfsa.org,www.gfsa.org,Combating hunger and promoting food security globally.,Sophia Martinez,Director,2023-02-25,FoodForAll,Global Food Distribution Program,Grant,Supporting food distribution programs in regions facing hunger and food insecurity.,Ethan Wong,Food Program Coordinator,555-369-2582,ethan.wong@gfsa.org,"$250,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Healthcare Access Initiative,Nonprofit,369147258,123 Medical St,San Diego,San Diego County,California,United States,36914,555-147-3692,contact@hai.org,www.hai.org,Improving access to healthcare in underserved areas.,Ava Johnson,Executive Director,2023-01-30,HealthReach,Mobile Healthcare Program,Grant,Launching mobile healthcare units to provide medical services in remote and underserved areas.,Noah Lee,Healthcare Coordinator,555-147-3693,noah.lee@hai.org,"$350,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Education for All Foundation,Nonprofit,258147369,456 Learning St,San Francisco,San Francisco County,California,United States,25814,555-147-2583,info@eaf.org,www.eaf.org,Promoting education and literacy in underprivileged communities.,Olivia Martinez,CEO,2023-03-15,EduFuture,Literacy and Education Outreach,Grant,Developing literacy and education outreach programs to improve access to education in disadvantaged communities.,Mason Singh,Education Program Director,555-147-2584,mason.singh@eaf.org,"$280,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Ocean Preservation Society,Nonprofit,159357486,123 Marine St,Seattle,King County,Washington,United States,15935,555-357-4861,info@ops.org,www.ops.org,Protecting marine ecosystems and promoting ocean conservation.,Isabella Torres,President,2023-04-10,BlueWave,Marine Conservation Project,Grant,Implementing conservation projects to protect marine ecosystems and biodiversity.,Lucas Kim,Conservation Director,555-357-4862,lucas.kim@ops.org,"$320,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Youth Development League,Nonprofit,753159486,456 Youth Ave,St. Louis,St. Louis City County,Missouri,United States,75315,555-159-7534,contact@ydl.org,www.ydl.org,"Empowering youth through education, sports, and leadership development.",Elijah Rodriguez,CEO,2023-03-05,YouthEmpower,Youth Empowerment Program,Grant,"Developing programs to empower youth through education, sports, and leadership activities.",Mia Patel,Youth Program Manager,555-159-7535,mia.patel@ydl.org,"$270,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Global Peace Initiative,Nonprofit,951753486,789 Peace St,Tampa,Hillsborough County,Florida,United States,95175,555-753-9514,info@gpi.org,www.gpi.org,"Promoting peace, conflict resolution, and human rights worldwide.",Aiden Martinez,Director,2023-02-15,PeacePath,International Peacebuilding Program,Grant,Implementing peacebuilding programs to promote conflict resolution and peace in conflict-affected areas.,Ella Wong,Peace Program Coordinator,555-753-9515,ella.wong@gpi.org,"$300,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Environmental Action Network,Nonprofit,486753159,123 Eco St,Washington D.C.,District of Columbia,District of Columbia,United States,48675,555-753-4863,contact@ean.org,www.ean.org,Advancing environmental action and sustainable practices.,Sophia Lee,Executive Director,2023-01-20,EcoAction,Sustainable Community Initiative,Grant,Supporting community-based initiatives to promote environmental sustainability and conservation.,Jackson Singh,Sustainability Coordinator,555-753-4864,jackson.singh@ean.org,"$250,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Cultural Exchange Foundation,Nonprofit,159486753,456 Global St,Austin,Travis County,Texas,United States,15948,555-486-1593,info@cef.org,www.cef.org,Fostering cultural exchange and understanding globally.,Oliver Torres,CEO,2023-03-25,CultureConnect,International Cultural Exchange Program,Grant,Organizing cultural exchange programs to promote global understanding and cultural diversity.,Lily Kim,Cultural Program Director,555-486-1594,lily.kim@cef.org,"$280,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Global Wildlife Fund,Nonprofit,987654321,123 Conservation St,Baltimore,Baltimore City County,Maryland,United States,98765,555-654-3210,info@gwf.org,www.gwf.org,Protecting endangered species and preserving natural habitats worldwide.,Amelia Johnson,President,2023-04-15,WildSave,Global Wildlife Conservation Program,Grant,Supporting conservation efforts to protect endangered species and their habitats.,Nathan Lee,Conservation Director,555-654-3211,nathan.lee@gwf.org,"$350,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Renewable Future Initiative,Nonprofit,246810135,456 Energy St,Charlotte,Mecklenburg County,North Carolina,United States,24681,555-810-2465,contact@rfi.org,www.rfi.org,Promoting renewable energy and sustainability.,Isabella Martinez,CEO,2023-03-10,GreenFuture,Renewable Energy Development Program,Grant,Developing renewable energy projects to reduce carbon emissions and promote sustainability.,Liam Kim,Energy Program Manager,555-810-2466,liam.kim@rfi.org,"$280,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Urban Youth Empowerment,Nonprofit,369258147,789 Youth St,Columbus,Franklin County,Ohio,United States,36925,555-258-3690,info@uye.org,www.uye.org,Empowering urban youth through education and mentorship.,Elijah Rodriguez,Director,2023-02-10,YouthRise,Urban Youth Mentorship Program,Grant,Implementing mentorship and education programs for urban youth to foster personal and professional development.,Mia Patel,Youth Program Director,555-258-3691,mia.patel@uye.org,"$220,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Health Innovations Network,Nonprofit,753951486,123 Health St,Indianapolis,Marion County,Indiana,United States,75395,555-951-7531,contact@hin.org,www.hin.org,Advancing healthcare innovation and access.,Ava Johnson,Executive Director,2023-03-05,InnoHealth,Healthcare Innovation Program,Grant,Supporting innovative healthcare solutions to improve access and quality of care.,Noah Lee,Healthcare Innovator,555-951-7532,noah.lee@hin.org,"$300,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Global Human Rights Initiative,Nonprofit,951753486,456 Rights St,Jacksonville,Duval County,Florida,United States,95175,555-753-9510,info@ghri.org,www.ghri.org,Promoting human rights and social justice worldwide.,Sophia Lee,CEO,2023-01-25,RightsNow,International Human Rights Program,Grant,Implementing programs to promote human rights and social justice in underserved regions.,Jackson Singh,Human Rights Coordinator,555-753-9511,jackson.singh@ghri.org,"$250,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Global Climate Action Network,Nonprofit,852963741,123 Climate St,Kansas City,Jackson County,Missouri,United States,85296,555-963-8520,info@gcan.org,www.gcan.org,Advancing climate action and sustainability globally.,Amelia Martinez,President,2023-04-20,ClimateForward,International Climate Action Program,Grant,Implementing global initiatives to combat climate change and promote sustainability.,Nathan Patel,Climate Program Director,555-963-8521,nathan.patel@gcan.org,"$400,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Education Without Borders,Nonprofit,741852963,456 Global Edu St,Memphis,Shelby County,Tennessee,United States,74185,555-852-7410,contact@ewb.org,www.ewb.org,Promoting access to education in underprivileged regions worldwide.,Isabella Lee,CEO,2023-03-15,EduAccess,Global Education Access Program,Grant,Supporting education initiatives in underprivileged regions to improve access and quality of education.,Liam Martinez,Education Program Manager,555-852-7411,liam.martinez@ewb.org,"$350,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Water for the World,Nonprofit,963741852,789 Aqua St,Milwaukee,Milwaukee County,Wisconsin,United States,96374,555-741-9630,info@wfw.org,www.wfw.org,Ensuring access to clean water and sanitation for communities worldwide.,Elijah Kim,Director,2023-02-20,AquaLife,Global Water Sanitation Program,Grant,Expanding access to clean water and sanitation in communities facing water scarcity.,Mia Wong,Water Program Manager,555-741-9631,mia.wong@wfw.org,"$370,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Renewable Energy Solutions,Nonprofit,852741963,123 Solar St,Oklahoma City,Oklahoma County,Oklahoma,United States,85274,555-741-8520,contact@res.org,www.res.org,Promoting the adoption of renewable energy solutions.,Ava Patel,Executive Director,2023-03-10,SolarFuture,Solar Energy Expansion Project,Grant,Supporting the expansion of solar energy projects to reduce carbon emissions and promote sustainability.,Noah Rodriguez,Energy Project Manager,555-741-8521,noah.rodriguez@res.org,"$310,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Global Health and Wellness Initiative,Nonprofit,741963852,456 Wellness Blvd,Raleigh,Wake County,North Carolina,United States,74196,555-963-7410,info@ghwi.org,www.ghwi.org,Improving global health and wellness through innovative programs.,Sophia Kim,CEO,2023-01-30,WellWorld,International Health and Wellness Program,Grant,Implementing health and wellness programs to improve global health outcomes.,Jackson Lee,Health Program Coordinator,555-963-7411,jackson.lee@ghwi.org,"$330,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Community Health Outreach,Nonprofit,123456789,123 Health St,Sacramento,Sacramento County,California,United States,02108,617-123-4567,info@cho.org,www.cho.org,Improving community health through outreach and education.,Amelia Johnson,Executive Director,2023-04-15,HealthyBoston,Community Health Education Initiative,Grant,Launching health education programs to address public health issues in Boston.,Nathan Lee,Health Educator,617-123-4568,nathan.lee@cho.org,"$200,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Tech for Tomorrow,Nonprofit,987654321,456 Innovation Way,Salt Lake City,Salt Lake County,Utah,United States,78701,512-987-6543,contact@tft.org,www.tft.org,Bridging the digital divide by providing access to technology and education.,Isabella Martinez,CEO,2023-03-20,TechAccessTX,Technology Access and Education Program,Grant,Expanding access to technology and providing educational programs in underserved communities in Texas.,Liam Kim,Program Director,512-987-6544,liam.kim@tft.org,"$250,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Green Cities Initiative,Nonprofit,135792468,789 Eco Blvd,Denver,Denver,Colorado,United States,80202,303-246-8102,info@gci.org,www.gci.org,Promoting urban sustainability and green initiatives.,Elijah Rodriguez,Director,2023-02-25,EcoDenver,Urban Sustainability Project,Grant,Implementing green initiatives to promote sustainability and improve quality of life in Denver.,Mia Patel,Sustainability Coordinator,303-246-8103,mia.patel@gci.org,"$300,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Education Equity Network,Nonprofit,246810135,123 Equality St,Atlanta,Fulton,Georgia,United States,30303,404-135-2468,contact@een.org,www.een.org,Advancing educational equity and opportunities for all students.,Ava Johnson,Executive Director,2023-01-30,EqualLearn,Educational Equity Program,Grant,Developing programs to promote educational equity and reduce disparities in Atlanta.,Noah Lee,Education Program Manager,404-135-2469,noah.lee@een.org,"$280,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Community Safety Alliance,Nonprofit,864209753,456 Safe St,Seattle,King,Washington,United States,98101,206-209-8642,info@csa.org,www.csa.org,Enhancing community safety and crime prevention.,Sophia Kim,CEO,2023-03-10,SafeSeattle,Community Safety and Crime Prevention Program,Grant,Implementing community safety programs and initiatives to reduce crime and improve public safety in Seattle.,Jackson Singh,Safety Program Director,206-209-8643,jackson.singh@csa.org,"$320,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Urban Greening Coalition,Nonprofit,123789456,123 Park St,Portland,Multnomah,Oregon,United States,97201,503-123-7890,info@ugc.org,www.ugc.org,Promoting urban greening and sustainability.,Amelia Thompson,Executive Director,2023-04-20,GreenPortland,Urban Greening and Sustainability Initiative,Grant,Developing urban greening projects to enhance sustainability and livability in Portland.,Nathan Martinez,Sustainability Director,503-123-7891,nathan.martinez@ugc.org,"$220,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Empower Youth Network,Nonprofit,987258369,456 Empowerment Ave,Detroit,Wayne,Michigan,United States,48201,313-987-2580,contact@eyn.org,www.eyn.org,"Empowering youth through education, mentorship, and leadership development.",Isabella Lee,CEO,2023-03-25,YouthEmpowerMI,Youth Empowerment and Leadership Program,Grant,Implementing programs to empower and develop leadership skills in Detroit's youth.,Liam Rodriguez,Youth Program Manager,313-987-2581,liam.rodriguez@eyn.org,"$270,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Healthy Communities Initiative,Nonprofit,369258147,789 Health Way,Miami,Miami-Dade,Florida,United States,33101,305-369-2580,info@hci.org,www.hci.org,Improving community health and wellness.,Elijah Patel,Director,2023-02-20,HealthMiami,Community Health Improvement Program,Grant,Launching health improvement programs to address community health challenges in Miami.,Mia Wong,Health Program Director,305-369-2581,mia.wong@hci.org,"$300,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Arts and Culture Alliance,Nonprofit,147963852,123 Culture St,New Orleans,Orleans,Louisiana,United States,70112,504-147-9630,contact@aca.org,www.aca.org,Promoting arts and cultural engagement.,Ava Kim,Executive Director,2023-01-15,ArtNOLA,Arts and Culture Outreach Program,Grant,Supporting arts and cultural programs to enrich the New Orleans community.,Noah Martinez,Arts Program Manager,504-147-9631,noah.martinez@aca.org,"$250,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Climate Resilience Network,Nonprofit,852147963,456 Climate Blvd,Phoenix,Maricopa,Arizona,United States,85001,602-852-1470,info@crn.org,www.crn.org,Enhancing climate resilience and adaptation.,Sophia Rodriguez,CEO,2023-03-20,ResilientPhoenix,Climate Resilience and Adaptation Initiative,Grant,Implementing initiatives to enhance climate resilience and adaptation in Phoenix.,Jackson Lee,Climate Program Manager,602-852-1471,jackson.lee@crn.org,"$310,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Community Food Solutions,Nonprofit,852369741,123 Nutrition St,Philadelphia,Philadelphia,Pennsylvania,United States,19103,215-852-3690,info@cfs.org,www.cfs.org,Combating hunger and promoting food security in communities.,Amelia Lopez,Executive Director,2023-04-25,FoodPhilly,Community Food Security Program,Grant,Developing programs to ensure food security and access to nutritious food in Philadelphia.,Nathan Sanchez,Food Program Director,215-852-3691,nathan.sanchez@cfs.org,"$240,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Urban Revitalization Corps,Nonprofit,741258963,456 Development St,Baltimore,Baltimore City,Maryland,United States,21201,410-741-2580,contact@urc.org,www.urc.org,Revitalizing urban areas through sustainable development.,Isabella Thompson,CEO,2023-03-30,ReviveBmore,Urban Revitalization and Development Program,Grant,Implementing sustainable development projects to revitalize and improve Baltimore's urban areas.,Liam Johnson,Urban Development Manager,410-741-2581,liam.johnson@urc.org,"$280,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Veterans Support Network,Nonprofit,963147852,789 Veterans St,San Antonio,Bexar,Texas,United States,78205,210-963-1470,info@vsn.org,www.vsn.org,Providing support and resources to veterans.,Elijah Gonzalez,Director,2023-02-25,VetSupport,Veterans Assistance and Support Program,Grant,Offering assistance and support programs to help veterans in San Antonio.,Mia Rodriguez,Veterans Program Manager,210-963-1471,mia.rodriguez@vsn.org,"$310,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Clean Air Advocates,Nonprofit,852963147,123 Environment St,Los Angeles,Los Angeles,California,United States,90012,213-852-9630,contact@caa.org,www.caa.org,Promoting clean air and environmental health.,Ava Hernandez,Executive Director,2023-01-20,AirLA,Clean Air Initiative,Grant,Implementing initiatives to improve air quality and promote environmental health in Los Angeles.,Noah Martinez,Environmental Health Director,213-852-9631,noah.martinez@caa.org,"$260,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Digital Skills Foundation,Nonprofit,741369258,456 Tech St,San Francisco,San Francisco,California,United States,94103,415-741-3690,info@dsf.org,www.dsf.org,Enhancing digital literacy and skills in underserved communities.,Sophia Williams,CEO,2023-03-15,TechSkillsSF,Digital Skills Training Program,Grant,Providing digital skills training and resources to underserved communities in San Francisco.,Jackson Lopez,Technology Program Manager,415-741-3691,jackson.lopez@dsf.org,"$290,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Safe Streets Coalition,Nonprofit,852741369,123 Safety St,Chicago,Cook,Illinois,United States,60601,312-852-7410,info@ssc.org,www.ssc.org,Promoting safety and reducing violence in urban communities.,Amelia Ramirez,Executive Director,2023-04-30,SafeChi,Urban Safety and Violence Prevention Program,Grant,Implementing programs to enhance safety and reduce violence in Chicago's neighborhoods.,Nathan Hernandez,Safety Program Director,312-852-7411,nathan.hernandez@ssc.org,"$230,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Renewable Cities Initiative,Nonprofit,741852369,456 Green City St,Seattle,King,Washington,United States,98101,206-741-8520,contact@rci.org,www.rci.org,Advancing renewable energy and sustainability in urban areas.,Isabella Green,CEO,2023-03-35,GreenSeattle,Urban Renewable Energy Program,Grant,Supporting the transition to renewable energy sources in Seattle to promote sustainability.,Liam Thompson,Renewable Energy Manager,206-741-8521,liam.thompson@rci.org,"$270,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Community Arts Foundation,Nonprofit,963852147,789 Creative St,New York,New York,New York,United States,10001,212-963-8520,info@caf.org,www.caf.org,Supporting community arts and cultural engagement.,Elijah Green,Director,2023-02-30,ArtNYC,Community Arts and Cultural Program,Grant,Developing arts and cultural programs to enrich the New York City community.,Mia Hernandez,Arts Program Manager,212-963-8521,mia.hernandez@caf.org,"$290,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Healthy Futures Initiative,Nonprofit,852963741,123 Wellness Ave,Atlanta,Fulton,Georgia,United States,30303,404-852-9630,contact@hfi.org,www.hfi.org,Improving public health and wellness through innovative initiatives.,Ava Thompson,Executive Director,2023-01-25,HealthATL,Public Health Improvement Program,Grant,Launching initiatives to improve public health and wellness in the Atlanta community.,Noah Green,Public Health Director,404-852-9631,noah.green@hfi.org,"$310,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Education Access Network,Nonprofit,741963852,456 Learning Ln,Houston,Harris,Texas,United States,77002,713-741-9630,info@ean.org,www.ean.org,Promoting access to quality education for underserved populations.,Sophia Thompson,CEO,2023-03-20,EduHouston,Education Access and Equity Program,Grant,Implementing programs to increase access to quality education for underserved populations in Houston.,Jackson Green,Education Program Director,713-741-9631,jackson.green@ean.org,"$280,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
